,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
54,2016-02-25,7259.660937417996,-1145.5719968064961,9025.41915421553,7259.660937417996,7259.660937417996,-3169.751169204288,-3169.751169204288,-3169.751169204288,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-28.1178355260593,-28.1178355260593,-28.1178355260593,312.5126933937717,312.5126933937717,312.5126933937717,0.0,0.0,0.0,4089.909768213708
55,2016-02-26,7260.036478402136,-1167.0648644059793,8725.436687232863,7260.036478402136,7260.036478402136,-3335.6899573710307,-3335.6899573710307,-3335.6899573710307,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-123.75732157208304,-123.75732157208304,-123.75732157208304,242.21339127305242,242.21339127305242,242.21339127305242,0.0,0.0,0.0,3924.346521031105
56,2016-02-27,7260.412019386275,-1060.3217596831062,9236.212175974748,7260.412019386275,7260.412019386275,-2910.4557099281565,-2910.4557099281565,-2910.4557099281565,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,366.36258720936604,366.36258720936604,366.36258720936604,177.32772993447813,177.32772993447813,177.32772993447813,0.0,0.0,0.0,4349.956309458118
57,2016-02-28,7260.787560370413,-362.1767561797441,9440.040377093026,7260.787560370413,7260.787560370413,-2942.7876144292645,-2942.7876144292645,-2942.7876144292645,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,392.03771388599074,392.03771388599074,392.03771388599074,119.32069875674536,119.32069875674536,119.32069875674536,0.0,0.0,0.0,4317.999945941148
58,2016-02-29,7261.163101354554,-1146.099692386154,9197.483318704131,7261.163101354554,7261.163101354554,-3273.0143344825437,-3273.0143344825437,-3273.0143344825437,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,111.70150030160477,111.70150030160477,111.70150030160477,69.43019228785165,69.43019228785165,69.43019228785165,0.0,0.0,0.0,3988.14876687201
59,2016-03-01,7261.538642338693,-1676.4294432532051,8423.648610899247,7261.538642338693,7261.538642338693,-4082.1749597563276,-4082.1749597563276,-4082.1749597563276,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-656.6726661747728,-656.6726661747728,-656.6726661747728,28.643733490445065,28.643733490445065,28.643733490445065,0.0,0.0,0.0,3179.363682582365
60,2016-03-02,7261.914183322831,-604.3304803797462,8850.203700679396,7261.914183322831,7261.914183322831,-3518.0181866916587,-3518.0181866916587,-3518.0181866916587,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-61.553978122842345,-61.553978122842345,-61.553978122842345,-2.3181814968160097,-2.3181814968160097,-2.3181814968160097,0.0,0.0,0.0,3743.8959966311727
61,2016-03-03,7262.289724306971,-992.0417363330272,9140.40973868375,7262.289724306971,7262.289724306971,-3505.2756995269483,-3505.2756995269483,-3505.2756995269483,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-28.117835524325947,-28.117835524325947,-28.117835524325947,-23.011836930621683,-23.011836930621683,-23.011836930621683,0.0,0.0,0.0,3757.0140247800227
62,2016-03-04,7262.66526529111,-1535.5705404288274,8593.906539974816,7262.66526529111,7262.66526529111,-3611.1763956480686,-3611.1763956480686,-3611.1763956480686,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-123.75732157230208,-123.75732157230208,-123.75732157230208,-33.273047003766145,-33.273047003766145,-33.273047003766145,0.0,0.0,0.0,3651.488869643041
63,2016-03-05,7263.0408062752485,-780.2025563231625,9082.943120549162,7263.0408062752485,7263.0408062752485,-3120.9964164910266,-3120.9964164910266,-3120.9964164910266,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,366.362587209014,366.362587209014,366.362587209014,-33.2129766280401,-33.2129766280401,-33.2129766280401,0.0,0.0,0.0,4142.0443897842215
64,2016-03-06,7263.416347259389,-893.7295638492822,9509.406954131726,7263.416347259389,7263.416347259389,-3085.3155947980213,-3085.3155947980213,-3085.3155947980213,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,392.03771388572636,392.03771388572636,392.03771388572636,-23.207281611747508,-23.207281611747508,-23.207281611747508,0.0,0.0,0.0,4178.100752461368
65,2016-03-07,7263.791888243528,-1199.3018946882778,9103.641715740154,7263.791888243528,7263.791888243528,-3346.323506891344,-3346.323506891344,-3346.323506891344,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,111.70150030104791,111.70150030104791,111.70150030104791,-3.878980120391618,-3.878980120391618,-3.878980120391618,0.0,0.0,0.0,3917.4683813521838
66,2016-03-08,7264.167429227667,-1616.7738409877675,8199.550940127505,7264.167429227667,7264.167429227667,-4086.894311041585,-4086.894311041585,-4086.894311041585,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-656.6726661751451,-656.6726661751451,-656.6726661751451,23.924382205560445,23.924382205560445,23.924382205560445,0.0,0.0,0.0,3177.273118186082
67,2016-03-09,7264.542970211806,-1049.6835491827321,8771.160314280867,7264.542970211806,7264.542970211806,-3456.541427631966,-3456.541427631966,-3456.541427631966,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-61.55397812451379,-61.55397812451379,-61.55397812451379,59.15857756454814,59.15857756454814,59.15857756454814,0.0,0.0,0.0,3808.00154257984
68,2016-03-10,7264.918511195945,-1236.0783973670775,8997.730679129518,7264.918511195945,7264.918511195945,-3381.649120158071,-3381.649120158071,-3381.649120158071,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-28.11783552298447,-28.11783552298447,-28.11783552298447,100.6147424369137,100.6147424369137,100.6147424369137,0.0,0.0,0.0,3883.269391037874
69,2016-03-11,7265.294052180084,-1467.8189564287472,9105.918287931552,7265.294052180084,7265.294052180084,-3430.94862340667,-3430.94862340667,-3430.94862340667,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-123.75732157252102,-123.75732157252102,-123.75732157252102,146.95472523785108,146.95472523785108,146.95472523785108,0.0,0.0,0.0,3834.345428773414
70,2016-03-12,7265.669593164224,-622.9686405156402,9312.291368622438,7265.669593164224,7265.669593164224,-2891.034670465431,-2891.034670465431,-2891.034670465431,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,366.3625872096299,366.3625872096299,366.3625872096299,196.74876939693976,196.74876939693976,196.74876939693976,0.0,0.0,0.0,4374.634922698793
